3,0.0,-0.0,0.8,"[0, 0, 0, 1, 0, 1]"
3,0.0,-0.0,0.8,"[1, 1, 1, 1, 0, 1]"
3,0.47230732971953804,0.48725212464589235,0.8,"[1, 0, 1, 1, 1, 0]"
3,0.47230732971953804,0.48725212464589235,0.8,"[1, 0, 1, 1, 1, 0]"
3,0.47230732971953804,0.48725212464589235,0.8,"[1, 0, 1, 1, 1, 0]"
5,0.4635699127564254,0.5004730368968779,0.8,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0]"
8,0.4695611137328929,0.5180265654648957,0.8,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
5,0.4675784013204433,0.4503311258278146,0.8,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
8,0.4690891930155734,0.5018975332068312,0.8,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
13,0.4788566028821167,0.5081029551954243,0.8,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1]"
